x,y,guess,correct
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=153556×2000,透明フロート１５㍉,透明フロート１５㍉,1
耐熱ガラスt8W1500×H2855,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,1
フロート板ガラス厚8.04.45㎡以下,透明フロート８㍉,透明フロート８㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt8+A10+LowEt8,ｻﾝﾊﾞﾗﾝｽLow-E8+A10+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A10+FL8,1
フロートガラスt=102.18㎡以下,透明フロート１０㍉,透明フロート１０㍉,1
耐熱強化ガラス厚6.5100×2000,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,1
ﾌﾛｰﾄｶﾞﾗｽt52.18m2以下,透明フロート５㍉,透明フロート５㍉,1
姿見t=6,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
鏡t6W2241×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
化粧鏡t5.0W2368×H1000,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽLowE5+A12+FL102.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL10,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL10,1
複層ガラス厚24.04.00㎡以下FL10+A6+FL8,ﾍﾟｱｶﾞﾗｽFL10+A6+FL8,ﾍﾟｱｶﾞﾗｽFL10+A6+FL8,1
複層ｶﾞﾗｽLowE5+A12+FL5特寸4.0㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL5,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL5,1
ﾌﾛｰﾄ合せｶﾞﾗｽ厚さ12+12H900,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL12+FL12H900,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL12+FL12H900,1
大型鏡ｽﾃﾝﾚｽW2000×H2000,〈ｽﾃﾝﾚｽ製W2000×H20001枚〉,〈ｽﾃﾝﾚｽ製W2000×H20001枚〉,1
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm120×1800(SD-207他),型板ガラス４㍉,型板ガラス４㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt8+A12+ﾌﾛｰﾄt64.0m2以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL8,ﾍﾟｱｶﾞﾗｽFL6+A12+FL8,1
防護柵強化ガラスt=10W700×H500,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉（ｶﾞﾗｽのみ）,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉（ｶﾞﾗｽのみ）,1
強化合わせガラスTG10+TG124.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化10+強化12,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化10+強化12,1
複層ｶﾞﾗｽﾌﾛｰﾄt10+A10+ﾌﾛｰﾄt8,ﾍﾟｱｶﾞﾗｽFL8+A10+FL10,ﾍﾟｱｶﾞﾗｽFL8+A10+FL10,1
フロートガラスt=6.04.45㎡以下,透明フロート６㍉,透明フロート６㍉,1
Ｌｏｗ－Ｅ複層ガラスLow-ETP8+A12+TP84.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,1
化粧鏡t5.0W1855.5×H900,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
フロートガラスt104.45㎡以下,透明フロート１０㍉,透明フロート１０㍉,1
強化ガラスt=12.04.00㎡以下防護柵用,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
ガラス手摺H1200平部強化ｶﾞﾗｽt15,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200平部,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200平部,1
合わせｶﾞﾗｽ耐熱強化t8+強化t8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)耐熱強化8+強化8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)耐熱強化8+強化8,1
耐熱ガラスt6.5W1500×H500,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,1
自動扉衝突防止柵強化ｶﾞﾗｽ厚8,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ8特寸4.45㎡以下,透明フロート８㍉,透明フロート８㍉,1
化粧鏡厚6W500×H500ｺｰﾅｰR加工,異形サンミラー６㍉･･･壁面／洗面,異形サンミラー６㍉･･･壁面／洗面,1
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt84.0m2以下,ﾍﾟｱｶﾞﾗｽFL8+A12+FL10,ﾍﾟｱｶﾞﾗｽFL8+A12+FL10,1
強化合わせｶﾞﾗｽ厚10.0+8.0H=1050,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化10H1050,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化10H1050,1
フロート板ガラスt6W40×H2100,透明フロート６㍉,透明フロート６㍉,1
ｶﾞﾗｽ手摺平部高さ1350強化合せｶﾞﾗｽ厚12+12,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化12+強化12H1350,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化12+強化12H1350,1
強化ｶﾞﾗｽ厚124.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
合せｶﾞﾗｽFL12+FL84.0㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL8+FL12,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL8+FL12,1
姿見鏡W450×H2100厚5.0防錆鏡,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,1
強化ｶﾞﾗｽt52.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)５㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)５㍉,1
耐熱強化ガラス厚6.5100×2000,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,1
フロストミラー,ﾌﾛｽﾄｸﾞﾗｽﾒﾀﾘｯｸ５㍉,ﾌﾛｽﾄｸﾞﾗｽﾒﾀﾘｯｸ５㍉,1
Ｌｏｗ－Ｅ複層ガラスLow-ETP8+A12+TP82.00㎡以下異形(切断有),ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8（異形）,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8（異形）,1
鏡t6W2914×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
複層ｶﾞﾗｽ強化LE8+A12+TG8特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,1
LEaAW-e2複層ｶﾞﾗｽLowe8+A12+FL8異形900×3300(2.7m2),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
化粧鏡t5.0W1855.5×H900,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
防煙垂壁A網入型板ｶﾞﾗｽ厚6.8,サンスモークカットＴ（一般天井用）,サンスモークカットＴ（一般天井用）,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ10.0mm特寸2.18㎡以下,透明フロート１０㍉,透明フロート１０㍉,1
化粧鏡L2390×H1000,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
ｶﾞﾗｽ手摺H1100平部強化ｶﾞﾗｽt12,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)12㍉H1100(ｶﾞﾗｽのみ),ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)12㍉H1100(ｶﾞﾗｽのみ),1
耐熱ガラスt5W40×H1700,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)５㍉,1
強化合わせガラスTG10+TG12W760×H2215,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化10+強化12,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化10+強化12,1
複層ｶﾞﾗｽﾌﾛｰﾄt12+A12+ﾌﾛｰﾄt84.0m2以下,ﾍﾟｱｶﾞﾗｽFL8+A12+FL12,ﾍﾟｱｶﾞﾗｽFL8+A12+FL12,1
強化ｶﾞﾗｽt104.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,1
複層ガラスPWt6.8+A+FL102.0㎡,ﾍﾟｱｶﾞﾗｽPW6.8+A12+FL10,ﾍﾟｱｶﾞﾗｽPW6.8+A12+FL10,1
網入みがき板ｶﾞﾗｽ厚さ10W1879×H1027.2,異形網入磨ガラス(ﾋｼ)１０㍉,異形網入磨ガラス(ﾋｼ)１０㍉,1
LEaAW-e2複層ｶﾞﾗｽLowe8+A12+FL8異形900×3100(2.7m2),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
複層ｶﾞﾗｽLE8+A12+HS8特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+HS8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+HS8,1
複層ｶﾞﾗｽLowE6+A12+FL6特寸6.0㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,1
強化ｶﾞﾗｽ厚62.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
フロートガラスt84.45㎡以下,透明フロート８㍉,透明フロート８㍉,1
化粧鏡厚5W500×H1300両端部幅50ﾌﾞﾗｽﾄ処理,化粧鏡5㍉両端幅50ﾌﾛｽﾄ処理,化粧鏡5㍉両端幅50ﾌﾛｽﾄ処理,1
複層ｶﾞﾗｽLowE5+A12+FL64.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL6,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL6,1
引違ｶﾞﾗｽ戸ﾌﾛｰﾄ厚5800×600,透明フロート５㍉,透明フロート５㍉,1
ﾌﾛｰﾄｶﾞﾗｽt104.45m2以下,透明フロート１０㍉,透明フロート１０㍉,1
ガラスパーティションﾌﾛｰﾄｶﾞﾗｽt10,透明フロート１０㍉,透明フロート１０㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt10+A10+LowEt10,ｻﾝﾊﾞﾗﾝｽLow-E10+A10+FL10,ｻﾝﾊﾞﾗﾝｽLow-E10+A10+FL10,1
強化ｶﾞﾗｽ厚さ6㎜平面2.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
強化ｶﾞﾗｽ厚さ6㎜平面6.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
フロート板ガラス厚8.02.18㎡以下,透明フロート８㍉,透明フロート８㍉,1
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=152709×2800,透明フロート１５㍉,透明フロート１５㍉,1
フロートガラスt102.18㎡以下,透明フロート１０㍉,透明フロート１０㍉,1
合わせｶﾞﾗｽ強化t8+強化t8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化8,1
ガラススクリーンW15000×H2000強化合わせｶﾞﾗｽt=8+8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化8,1
化粧鏡300×600×厚5,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽLowE12+A12+FL154.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL15,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL15,1
防煙垂壁網入り磨き板ｶﾞﾗｽt6.8,網(線)入りｶﾞﾗｽ6.8ﾐﾘ,網(線)入りｶﾞﾗｽ6.8ﾐﾘ,1
ガラス手摺H1200斜部強化ｶﾞﾗｽt15,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200斜部,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200斜部,1
フロートガラスt122.18㎡以下,透明フロート１２㍉,透明フロート１２㍉,1
複層ｶﾞﾗｽFL6+A12+FL6特寸6.0㎡以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL6,ﾍﾟｱｶﾞﾗｽFL6+A12+FL6,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ8特寸11.36㎡以下,透明フロート８㍉,透明フロート８㍉,1
複層ｶﾞﾗｽFL10+A12+FL12特寸10.0㎡以下,ﾍﾟｱｶﾞﾗｽFL10+A12+FL12,ﾍﾟｱｶﾞﾗｽFL10+A12+FL12,1
化粧鏡厚6W850×H2400,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
複層ｶﾞﾗｽ網入型t6.8+A12+防犯合(ﾌﾛｰﾄt3+t3),ﾍﾟｱｶﾞﾗｽｾｷｭﾘﾃｨｰFL3+FL3(30ﾐﾙ)+A12+FW6.8,ﾍﾟｱｶﾞﾗｽｾｷｭﾘﾃｨｰFL3+FL3(30ﾐﾙ)+A12+FW6.8,1
化粧鏡厚6W1700×H500ｺｰﾅｰR加工,異形サンミラー６㍉･･･壁面／洗面,異形サンミラー６㍉･･･壁面／洗面,1
ﾌﾛｰﾄｶﾞﾗｽ厚5100×1800ﾀﾍﾟｽﾄﾘｰ加工,透明フロート５㍉※,透明フロート５㍉※,1
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm120×800(LD-K03他),型板ガラス４㍉,型板ガラス４㍉,1
ﾌﾛｰﾄｶﾞﾗｽt124.45m2以下,透明フロート１２㍉,透明フロート１２㍉,1
鏡t6W2066×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
強化ガラスt=6.06.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
合せガラスt=30.0W3020×H2865FL15+FL15,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL15+FL15（特）,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL15+FL15（特）,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6W100×H900,透明フロート６㍉,透明フロート６㍉,1
複層ガラスt32W1185×H3730FL10+A12+Low-E10,ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL10(L),ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL10(L),1
複層ｶﾞﾗｽﾌﾛｰﾄt6+A12+網入型t6.82.0m2以下,ﾍﾟｱｶﾞﾗｽFW6.8+A12+FL6,ﾍﾟｱｶﾞﾗｽFW6.8+A12+FL6,1
化粧鏡L1800×H1000,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽFL6+A12+P6.82.00m2以下,ﾍﾟｱｶﾞﾗｽPW6.8+A12+FL6,ﾍﾟｱｶﾞﾗｽPW6.8+A12+FL6,1
複層ｶﾞﾗｽLowE12+A12+FL124.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL12,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL12,1
ﾌﾛｽﾄｶﾞﾗｽ厚さ15.0mm特寸4.45㎡以下,フロストグラス（プレーン）１５㍉,フロストグラス（プレーン）１５㍉,1
複層ｶﾞﾗｽFL5+A12+FL52.00m2以下,ﾍﾟｱｶﾞﾗｽFL5+A12+FL5,ﾍﾟｱｶﾞﾗｽFL5+A12+FL5,1
複層ｶﾞﾗｽFL5+A12+FL54.00m2以下,ﾍﾟｱｶﾞﾗｽFL5+A12+FL5,ﾍﾟｱｶﾞﾗｽFL5+A12+FL5,1
引違ｶﾞﾗｽ戸ﾌﾛｰﾄ厚5800×600,透明フロート５㍉,透明フロート５㍉,1
耐熱強化ｶﾞﾗｽt104.00m2以下,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)１０㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)１０㍉,1
ﾌﾛｰﾄｶﾞﾗｽt102.18m2以下,透明フロート１０㍉,透明フロート１０㍉,1
姿見t=6,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
ﾌﾛｰﾄｶﾞﾗｽt82.18m2以下,透明フロート８㍉,透明フロート８㍉,1
強化ｶﾞﾗｽt84.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
倍強度ガラスt=6.02.00㎡以下ｾﾗﾐｯｸﾌﾟﾘﾝﾄ,セラプリライト６㍉＜指定柄＞,セラプリライト６㍉＜指定柄＞,1
耐熱ガラスt5W1060×H2400,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)５㍉,1
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=152554×2800,透明フロート１５㍉,透明フロート１５㍉,1
防護柵強化ガラスt=10W700×H500,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉（ｶﾞﾗｽのみ）,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉（ｶﾞﾗｽのみ）,1
複層ガラスt364.0㎡以下FL12+A12+Low-E12,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL12,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL12,1
合わせｶﾞﾗｽﾌﾛ-ﾄt5+ﾌﾛ-ﾄt54.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL5+FL5,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL5+FL5,1
複層ガラスt32W700×H3730FL10+A12+Low-E10,ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL10(L),ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL10(L),1
強化ｶﾞﾗｽ厚さ6㎜平面6.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
ﾌﾛｰﾄｶﾞﾗｽ厚52.18m2以下,透明フロート５㍉,透明フロート５㍉,1
複層ｶﾞﾗｽTG8+A12+TG8特寸6.0㎡以下,ﾍﾟｱｶﾞﾗｽ強化8+A12+強化8,ﾍﾟｱｶﾞﾗｽ強化8+A12+強化8,1
フロートガラスt124.45㎡以下,透明フロート１２㍉,透明フロート１２㍉,1
複層ｶﾞﾗｽLowE8+A12+FL8特寸6.0㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
複層ｶﾞﾗｽ合(ﾌﾛｰﾄt5+乳半色中間膜+ﾌﾛｰﾄt5)+A10+LowEt10,ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E10+A10+FL5+FL5(乳30),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E10+A10+FL5+FL5(乳30),1
フロートガラスt104.45㎡以下,透明フロート１０㍉,透明フロート１０㍉,1
Ｌｏｗ－Ｅ複層ガラスLow-E8+A12+FL84.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
ガラス手摺H1200平部強化ｶﾞﾗｽt15,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200平部,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200平部,1
強化型板ｶﾞﾗｽW850×H2450厚8.0,フロスト熱処理ガラス８㍉,フロスト熱処理ガラス８㍉,1
ﾀﾞﾌﾞﾙｶﾞﾗｽﾄﾞｱ強化5+強化5900×2700,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化5+強化5,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化5+強化5,1
すり板ガラスt=5.0W100×H100,すり板ガラス５㍉,すり板ガラス５㍉,1
LEa複層ｶﾞﾗｽLowe6+A12+FL64.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm120×1800(HSD-101a),透明フロート６㍉,透明フロート６㍉,1
化粧鏡t5.0W450×H1000,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
強化ｶﾞﾗｽ厚さ6㎜平面4.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
強化ｶﾞﾗｽ厚さ12.0mm平面4.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
合わせｶﾞﾗｽPSG5+PSG52.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL5+FL5,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL5+FL5,1
強化ｶﾞﾗｽ厚さ8.0mm250×500(SSD-101),ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
防犯合わせﾌｧｲﾔｰｶﾞﾗｽt5+t4180×1600,カラーラミセーフFL4+FR5(乳60),カラーラミセーフFL4+FR5(乳60),1
合わせｶﾞﾗｽFL8(4+4)平面2.0㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL4+FL4,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL4+FL4,1
フロート板ガラス厚8.04.45㎡以下,透明フロート８㍉,透明フロート８㍉,1
合わせガラスPWG10+FL82.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)PW10+FL8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)PW10+FL8,1
強化ｶﾞﾗｽt8W1995×H3450,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
耐熱強化ｶﾞﾗｽ厚さ5.0mm平面2.00㎡以下,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)５㍉,1
鏡t6W2241×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
合わせｶﾞﾗｽ(ｶﾗｰ中間膜)ﾌﾛ-ﾄt4+ﾌﾛ-ﾄt40.8m2以下,カラーラミセーフFL4+FL4(30mil),カラーラミセーフFL4+FL4(30mil),1
化粧鏡450×600×厚5,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
