x,y,guess,correct
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=156.81㎡以下,透明フロート１５㍉,透明フロート１５㍉,1
フロートガラスt=6.04.45㎡以下,透明フロート６㍉,透明フロート６㍉,1
Ｌｏｗ－Ｅ複層ガラスLow-E8+A12+FL84.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
合わせｶﾞﾗｽ網入磨t6.8+ﾌﾛ-ﾄt64.0m2以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)PW6.8+FL6,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)PW6.8+FL6,1
Low-E複層ガラス厚20.02.00㎡以下Low-E6+A6+FL8,ｻﾝﾊﾞﾗﾝｽLow-E6+A6+FL8,ｻﾝﾊﾞﾗﾝｽLow-E6+A6+FL8,1
ﾌﾛｰﾄｶﾞﾗｽt8W100×H1900,透明フロート８㍉,透明フロート８㍉,1
複層ガラスt366.0㎡以下FL12+A12+Low-E12,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL12,ｻﾝﾊﾞﾗﾝｽLow-E12+A12+FL12,1
ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽﾌﾛｰﾄ6+ﾌﾞﾗｲﾝﾄﾞ+ﾌﾛｰﾄ5842×1100,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽFL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽFL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉,1
LEaAD-1複層ｶﾞﾗｽLowe10+A12+FL122827.5×2310,ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL12,ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL12,1
フロート板ガラス厚6.0W100×H1900,透明フロート６㍉,透明フロート６㍉,1
合せガラス厚16.04.00㎡以下FL8+FL8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL8+FL8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL8+FL8,1
強化ｶﾞﾗｽt104.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ8特寸6.81㎡以下,透明フロート８㍉,透明フロート８㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt6+A12+ﾌﾛｰﾄt82.0m2以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL8,ﾍﾟｱｶﾞﾗｽFL6+A12+FL8,1
強化ガラスt=8.02.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
フロート板ガラスt62.18㎡以下,透明フロート６㍉,透明フロート６㍉,1
ｽﾃﾝﾄﾞｸﾞﾗｽｶﾊﾞｰ強化ｶﾞﾗｽ厚さ6㎜平面2.0㎡以下W630×H1305,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
強化透明ﾌﾛｰﾄ板ｶﾞﾗｽt=123313×2400,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
引違受付窓強化ｶﾞﾗｽ厚さ6㎜W1400×H1000,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉(ｶﾞﾗｽのみ),ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉(ｶﾞﾗｽのみ),1
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W150×H1600,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL3+FL3,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL3+FL3,1
複層ｶﾞﾗｽPSG6+A6+FG62.00㎡以下,ﾍﾟｱｶﾞﾗｽ型6+A6+FL6,ﾍﾟｱｶﾞﾗｽ型6+A6+FL6,1
化粧鏡t=6枠:ｽﾃﾝﾚｽHLFB-3×25,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
網入透明板ｶﾞﾗｽt=106.81㎡以下,網入磨ガラス１０㍉,網入磨ガラス１０㍉,1
LEaAW-e2複層ｶﾞﾗｽLowe8+A12+FL8異形695×3500(2.2m2),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
強化透明ﾌﾛｰﾄ板ｶﾞﾗｽt=122.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
郵便受覗き窓:FL-5W250×H100,透明フロート５㍉（ｶﾞﾗｽのみ）,透明フロート５㍉（ｶﾞﾗｽのみ）,1
網入みがき板ｶﾞﾗｽ厚さ10W1565×H1027.2,異形網入磨ガラス(ﾋｼ)１０㍉,異形網入磨ガラス(ﾋｼ)１０㍉,1
複層ｶﾞﾗｽLowE6+A12+FL62.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,1
(LSD-3)霞ｶﾞﾗｽt6200×875,型板ガラス６㍉,型板ガラス６㍉,1
ﾌﾛｰﾄｶﾞﾗｽ厚5150×1500ﾀﾍﾟｽﾄﾘｰ加工,透明フロート５㍉※,透明フロート５㍉※,1
複層ｶﾞﾗｽFL8+A12+FL8特寸4.0㎡以下,ﾍﾟｱｶﾞﾗｽFL8+A12+FL8,ﾍﾟｱｶﾞﾗｽFL8+A12+FL8,1
フロート板ガラスt6W40×H2100,透明フロート６㍉,透明フロート６㍉,1
掲示板表:FLｶﾞﾗｽt5,透明フロート５㍉,透明フロート５㍉,1
合わせｶﾞﾗｽﾌﾛ-ﾄt3+ﾌﾛ-ﾄt3W300×H1500,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL3+FL3,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL3+FL3,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚62.18㎡以下,透明フロート６㍉,透明フロート６㍉,1
複層ガラスt30W1410×H3548FL8+A12+Low-E10,ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL8(L),ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL8(L),1
型板ｶﾞﾗｽ厚4150×1500ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス４㍉※,型板ガラス４㍉※,1
ﾌﾛｰﾄｶﾞﾗｽt5W1350×H1100,透明フロート５㍉,透明フロート５㍉,1
フロートガラスt124.45㎡以下,透明フロート１２㍉,透明フロート１２㍉,1
自動扉衝突防止柵強化ｶﾞﾗｽ厚8,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
網入型板ｶﾞﾗｽ厚6.82.18㎡以下,網入型板ガラス６．８㍉,網入型板ガラス６．８㍉,1
網入みがき板ｶﾞﾗｽ厚さ10W500×H790,異形網入磨ガラス(ﾋｼ)１０㍉,異形網入磨ガラス(ﾋｼ)１０㍉,1
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=153556×2000,透明フロート１５㍉,透明フロート１５㍉,1
複層ｶﾞﾗｽFL10+A12+FL102.00m2以下,ﾍﾟｱｶﾞﾗｽFL10+A12+FL10,ﾍﾟｱｶﾞﾗｽFL10+A12+FL10,1
化粧鏡厚6W1800×H500ｺｰﾅｰR加工,異形サンミラー６㍉･･･壁面／洗面,異形サンミラー６㍉･･･壁面／洗面,1
複層ｶﾞﾗｽLowE6+A12+FL64.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL6,1
Low-E複層ガラス厚26.02.00㎡以下Low-E8+A6+,ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E8+A6+FL6+FL6(防音30),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E8+A6+FL6+FL6(防音30),1
複層ｶﾞﾗｽ強化LE8+A12+TG8特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,1
合わせｶﾞﾗｽFL8(4+4)平面2.0㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL4+FL4,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL4+FL4,1
ﾌﾛｰﾄｶﾞﾗｽt122.18m2以下,透明フロート１２㍉,透明フロート１２㍉,1
ﾌﾛｰﾄｶﾞﾗｽt82.18m2以下,透明フロート８㍉,透明フロート８㍉,1
耐熱強化ｶﾞﾗｽt82.00m2以下,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,1
型板ｶﾞﾗｽ厚4100×200,型板ガラス４㍉,型板ガラス４㍉,1
型板ｶﾞﾗｽ厚4100×800ﾀﾍﾟｽﾄﾘｰ加工,型板ガラス４㍉※,型板ガラス４㍉※,1
LEaAW-e2複層ｶﾞﾗｽLowe8+A12+FL8異形900×3400(3.0m2),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
鏡t6W2543×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt84.0m2以下,ﾍﾟｱｶﾞﾗｽFL8+A12+FL10,ﾍﾟｱｶﾞﾗｽFL8+A12+FL10,1
複層ｶﾞﾗｽLE8+A12+HS8特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+HS8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+HS8,1
Ｌｏｗ－Ｅ複層ガラスLow-E6+A12+TP82.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+強化8,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+強化8,1
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm特寸2.18㎡以下,透明フロート６㍉,透明フロート６㍉,1
Low-E複層ガラス厚28.02.00㎡以下Low-E6+A12+,ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E6+A12+FL5+FL5(防音30),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E6+A12+FL5+FL5(防音30),1
複層ｶﾞﾗｽ合(ﾌﾛｰﾄt6+耐熱強化t8)+A10+LowEt12,ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E12+A10+FL6+FR8(60),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E12+A10+FL6+FR8(60),1
化粧鏡360×1700×厚5,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽLE8+A12+FL8特寸6.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
LEaAW-e2複層ｶﾞﾗｽLowe8+A12+FL8異形900×4200(3.6m2),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8(L),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,0
自動扉衝突防止柵強化ｶﾞﾗｽ厚8,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)８㍉,1
複層ｶﾞﾗｽLE6+A12+FL5特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL5,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL5,1
複層ｶﾞﾗｽPWG6.8+A6+FG62.00㎡以下,ﾍﾟｱｶﾞﾗｽPW6.8+A6+型6,ﾍﾟｱｶﾞﾗｽPW6.8+A6+型6,1
強化ガラスt104.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,1
フロート板ガラス厚6.02.18㎡以下,透明フロート６㍉,透明フロート６㍉,1
ﾌﾛｰﾄｶﾞﾗｽt8,透明フロート８㍉,透明フロート８㍉,1
強化ｶﾞﾗｽt10W1055×H3000,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,1
フロートガラスt=124.45㎡以下,透明フロート１２㍉,透明フロート１２㍉,1
強化合わせガラスTG10+TG6500φ,異形ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化6+強化10,異形ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化6+強化10,1
複層ガラスt162.0㎡以下FL5+A6+FL5,ﾍﾟｱｶﾞﾗｽFL5+A6+FL5,ﾍﾟｱｶﾞﾗｽFL5+A6+FL5,1
複層ｶﾞﾗｽLowE5+A12+FL5特寸6.0㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL5,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL5,1
強化ｶﾞﾗｽ厚さ6㎜平面2.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)６㍉,1
鏡t6W2066×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
フロート板ガラス厚8.02.18㎡以下,透明フロート８㍉,透明フロート８㍉,1
化粧鏡W300×H1150厚5.0防錆鏡,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽFL6+A12+FL6特寸2.0㎡以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL6,ﾍﾟｱｶﾞﾗｽFL6+A12+FL6,1
ﾌﾛｰﾄｶﾞﾗｽt84.45m2以下,透明フロート８㍉,透明フロート８㍉,1
複層ｶﾞﾗｽFL8+A12+FL8特寸8.0㎡以下,ﾍﾟｱｶﾞﾗｽFL8+A12+FL8,ﾍﾟｱｶﾞﾗｽFL8+A12+FL8,1
複層ガラスt32W1200×H3730FL10+A12+Low-E10,ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL10(L),ｻﾝﾊﾞﾗﾝｽLow-E10+A12+FL10(L),1
強化ガラス戸t10W850×H2000,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,1
複層ｶﾞﾗｽTG8+A8+TG8特寸4.0㎡以下,ﾍﾟｱｶﾞﾗｽ強化8+A8+強化8,ﾍﾟｱｶﾞﾗｽ強化8+A8+強化8,1
網入みがき板ｶﾞﾗｽ厚さ10W1408×H1027.2,異形網入磨ガラス(ﾋｼ)１０㍉,異形網入磨ガラス(ﾋｼ)１０㍉,1
フロートガラスt156.81㎡以下,透明フロート１５㍉,透明フロート１５㍉,1
ﾌﾛｰﾄｶﾞﾗｽt5W1150×H900,透明フロート５㍉,透明フロート５㍉,1
ﾌﾛｰﾄｶﾞﾗｽ厚5100×1800ﾀﾍﾟｽﾄﾘｰ加工,透明フロート５㍉※,透明フロート５㍉※,1
複層ｶﾞﾗｽFL6+A12+FL54.00m2以下,ﾍﾟｱｶﾞﾗｽFL5+A12+FL6,ﾍﾟｱｶﾞﾗｽFL5+A12+FL6,1
化粧鏡W400×H800厚5.0防錆鏡,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,1
姿見鏡厚6W400×H2340,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
耐熱ｶﾞﾗｽt6.54.00m2以下,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,1
すり板ガラスt=5.0W100×H100,すり板ガラス５㍉,すり板ガラス５㍉,1
強化合わせガラスTG10+TG6500φ,異形ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化6+強化10,異形ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化6+強化10,1
複層ｶﾞﾗｽLE6+A12+FL5特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL5,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL5,1
複層ｶﾞﾗｽLowE6+A12+FL82.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL8,1
耐熱ガラスt8W1520×H1500,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,1
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=153004×2800,透明フロート１５㍉,透明フロート１５㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt82.0m2以下,ﾍﾟｱｶﾞﾗｽFL8+A12+FL10,ﾍﾟｱｶﾞﾗｽFL8+A12+FL10,1
鏡t6W2300×H1500,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
化粧鏡W400×H600厚5.0防錆鏡,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,1
化粧鏡t5.0W3000×H1000,ｻﾝﾐﾗｰ５㍉壁面／洗面分割前提,ｻﾝﾐﾗｰ５㍉壁面／洗面分割前提,1
複層ガラスPWt6.8+A+FL102.0㎡,ﾍﾟｱｶﾞﾗｽPW6.8+A12+FL10,ﾍﾟｱｶﾞﾗｽPW6.8+A12+FL10,1
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=196.81㎡以下,透明フロート１９㍉,透明フロート１９㍉,1
強化ガラスt124.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
Ｌｏｗ－Ｅ複層ガラスLow-ETP8+A12+TP82.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,ｻﾝﾊﾞﾗﾝｽLow-E強化8+A12+強化8,1
強化ガラスt=12.02.00㎡以下防護柵用,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
複層ｶﾞﾗｽ合(ﾌﾛｰﾄt6+耐熱強化t8)+A10+LowEt12,ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E12+A10+FL6+FR8(60),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E12+A10+FL6+FR8(60),1
強化透明ﾌﾛｰﾄ板ｶﾞﾗｽt=124.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽﾌﾛｰﾄ6+ﾌﾞﾗｲﾝﾄﾞ+ﾌﾛｰﾄ5900×1100,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽFL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉,〈ﾌﾞﾗｲﾝﾄﾞ内蔵ｶﾞﾗｽFL6+ﾌﾞﾗｲﾝﾄﾞ+FL5〉,1
強化ｶﾞﾗｽ厚52.00m2以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)５㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)５㍉,1
引違ｶﾞﾗｽ戸ﾌﾛｰﾄ厚5800×600,透明フロート５㍉,透明フロート５㍉,1
ﾌﾛｰﾄｶﾞﾗｽt5W1350×H1100,透明フロート５㍉,透明フロート５㍉,1
強化ｶﾞﾗｽ厚さ12.0mm平面4.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
強化透明ﾌﾛｰﾄ板ｶﾞﾗｽt=124.0㎡以下,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１２㍉,1
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=154.45㎡以下,透明フロート１５㍉,透明フロート１５㍉,1
強化ガラス戸t10W850×H2075,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉,1
複層ｶﾞﾗｽLowE6+A6+FL62.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A6+FL6,ｻﾝﾊﾞﾗﾝｽLow-E6+A6+FL6,1
LEa複層ｶﾞﾗｽLowe8+A12+FL82.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
フロート板ガラス厚6.0W100×H950,透明フロート６㍉,透明フロート６㍉,1
強化合わせｶﾞﾗｽ厚10.0+8.0H=1000,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化10H1000,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(60mil)強化8+強化10H1050,0
合わせｶﾞﾗｽPSG5+PSG52.00㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL5+FL5,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL5+FL5,1
耐熱ガラスt8W1520×H1500,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,1
ガラス手摺H1200平部強化ｶﾞﾗｽt15,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200平部,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１５㍉H1200平部,1
複層ｶﾞﾗｽLE8+A12+FL8特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
鏡防湿鏡厚5,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,ｻﾝﾐﾗｰﾃﾞﾗｯｸｽ５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽﾌﾛｰﾄt10+A12+ﾌﾛｰﾄt62.0m2以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL10,ﾍﾟｱｶﾞﾗｽFL6+A12+FL10,1
複層ｶﾞﾗｽFL6+A12+FL66.00m2以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL6,ﾍﾟｱｶﾞﾗｽFL6+A12+FL6,1
複層ｶﾞﾗｽLowE8+A12+T8W1884×H3450,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+強化8,ｻﾝﾊﾞﾗﾝｽLow-E8+A12+強化8,1
ﾌﾛｰﾄｶﾞﾗｽt5W900×H900,透明フロート５㍉,透明フロート５㍉,1
ﾌﾛｰﾄｶﾞﾗｽt8W100×H1800,透明フロート８㍉,透明フロート８㍉,1
LEaAW-e2複層ｶﾞﾗｽLowe8+A12+FL8異形695×3500(2.2m2),異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,異形ｻﾝﾊﾞﾗﾝｽLow-E8+A12+FL8,1
複層ｶﾞﾗｽLowE6+A6+FL64.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A6+FL6,ｻﾝﾊﾞﾗﾝｽLow-E6+A6+FL6,1
Ｌｏｗ－Ｅ合わせ複層ガラスLow-E8+A6+(FL5+FL5),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E8+A6+FL5+FL5(30ﾐﾙ),ｻﾝﾊﾞﾗﾝｽｾｷｭﾘﾃｨｰLow-E8+A6+FL6+HS6(SG60)※,0
合わせｶﾞﾗｽFL16(8+8)平面6.0㎡以下,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL8+FL8,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL8+FL8,1
網入透明板ｶﾞﾗｽt=104.45㎡以下,網入磨ガラス１０㍉,網入磨ガラス１０㍉,1
鏡t6W2500×H1500,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm120×1800(SD-207他),型板ガラス４㍉,型板ガラス４㍉,1
